path	date	wc	source_type	tc_id	verdict
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-N01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-N02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-O01	FAIL
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-O02	FAIL
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-O03	FAIL
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-O04	FAIL
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-O05	FAIL
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-O06	FAIL
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-O07	FAIL
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-P01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-P02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-P03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-P04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-P05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-P06	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-P07	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-P08	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q18	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q19	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q20	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-B02	SKIPPED
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-B06	SKIPPED
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-C03	SKIPPED
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-G01	SKIPPED
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-G02	SKIPPED
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-G03	SKIPPED
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-M13	SKIPPED
